data inicial semana,umidmin,umidmed,umidmax,tempmin,tempmed,tempmax,precipitacao total,casos,month
2018-02-11,90.8959371428572,94.9543827142857,99.1579742857143,19.1428571428571,19.8365078571429,20.7142857142857,7.6,4,Feb
2018-02-04,77.9752522857143,88.878275,94.9490748571429,17.7142857142857,19.2476187142857,21.4285714285714,0.4,6,Feb
2018-01-28,89.9254871428572,95.35679,100.0,18.1428571428571,19.3857144285714,20.4285714285714,36.8,10,Jan
2018-01-21,81.44071,92.7594378571429,98.2847528571429,19.7142857142857,21.3119048571429,23.4285714285714,35.8,5,Jan
2018-01-14,73.62173,89.3304751428571,99.1455371428571,20.0,21.8928571428571,25.2857142857143,36.0,6,Jan
2018-01-07,71.5928557142857,90.0812928571429,98.27204,18.2857142857143,20.6917185714286,24.8571428571429,43.4,7,Jan
2017-12-31,80.38366,89.8347408571429,95.7776528571429,19.8571428571429,21.2523808571429,23.1428571428571,48.6,10,Dec
2017-12-24,89.5622,93.81338,96.7551908571429,20.5714285714286,21.4134921428571,22.5714285714286,60.0,8,Dec
2017-12-17,72.2981482857143,87.321342,99.1328242857143,19.1428571428571,21.9415114285714,25.0,50.6,9,Dec
2017-12-10,86.313342,94.3129405714286,99.11983,16.8571428571429,18.263492,20.2857142857143,21.4,6,Dec
2017-12-03,83.185021,91.2253057142857,96.6082785714286,19.2857142857143,20.593991,22.8571428571429,20.4,5,Dec
2017-11-26,62.5051904285714,81.9048842857143,96.5049548571429,18.0,21.0406314285714,25.4285714285714,43.4,7,Nov
2017-11-19,63.3866732857143,87.3981658571429,99.1263634285714,17.0,20.5075048571429,26.0,45.8,5,Nov
2017-11-12,51.50307,82.146117,100.0,18.0,22.086957,30.0,31.6,9,Nov
2017-11-05,,,,17.4,,,30.2,5,Nov
2017-10-29,,,,16.8,,,39.0,8,Oct
2017-10-22,,,,16.2,,,36.2,3,Oct
2017-10-15,,,,15.6,,,1.2000000000000002,6,Oct
2017-10-08,,,,15.0,,,6.2,7,Oct
2017-10-01,,,,14.4,,,33.8,12,Oct
2017-09-24,,,,13.8,,,37.2,4,Sep
2017-09-17,,,,13.2,,,0.4,7,Sep
2017-09-10,,,,12.6,,,0.0,10,Sep
2017-09-03,78.4,89.81,97.6,12.0,14.0933332,16.8,0.4,7,Sep
2017-08-27,87.1428571428571,93.2622442857143,98.2857142857143,12.7142857142857,14.0451247142857,15.5714285714286,0.4,2,Aug
2017-08-20,95.7142857142857,98.0408157142857,100.0,12.5714285714286,13.47551,14.1428571428571,35.8,4,Aug
2017-08-13,91.1428571428571,95.1471094285714,97.4285714285714,14.8571428571429,15.4940478571429,16.1428571428571,34.2,10,Aug
2017-08-06,84.1428571428571,91.3358851428572,96.5714285714286,11.4285714285714,12.7800455714286,14.0,0.2,3,Aug
2017-07-30,83.8571428571429,89.8469395714286,95.0,12.1428571428571,13.459184,14.8571428571429,3.8,4,Jul
2017-07-23,88.1428571428571,94.4030614285714,99.1428571428571,10.7142857142857,12.3418368571429,14.1428571428571,0.6000000000000001,5,Jul
2017-07-16,87.1428571428571,91.6428571428571,95.7142857142857,11.4285714285714,12.4846167142857,13.5714285714286,0.2,3,Jul
2017-07-09,94.0,98.5459185714286,100.0,11.5714285714286,12.7755102857143,14.0,0.6000000000000001,0,Jul
2017-07-02,94.5714285714286,97.0761908571429,99.1428571428571,9.85714285714286,10.8132085714286,11.7142857142857,0.4,2,Jul
