Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2021/01/01,0000 UTC,,"20,1","19,9",92.0,91.0,92.0
2021/01/01,0100 UTC,,"20,1","19,9",92.0,90.0,90.0
2021/01/01,0200 UTC,,20,"19,8",91.0,90.0,90.0
2021/01/01,0300 UTC,,"19,9","19,7",91.0,90.0,91.0
2021/01/01,0400 UTC,,"19,8","19,5",92.0,91.0,91.0
2021/01/01,0500 UTC,,"19,7","19,5",91.0,91.0,91.0
2021/01/01,0600 UTC,,"19,7","19,4",93.0,91.0,93.0
2021/01/01,0700 UTC,,"19,6","19,4",94.0,93.0,94.0
2021/01/01,0800 UTC,,"19,6","19,4",94.0,93.0,93.0
2021/01/01,0900 UTC,,"19,8","19,6",93.0,92.0,93.0
2021/01/01,1000 UTC,,"20,2","19,7",93.0,93.0,93.0
2021/01/01,1100 UTC,,"20,7","20,2",93.0,89.0,89.0
2021/01/01,1200 UTC,,"21,1","20,6",91.0,89.0,91.0
2021/01/01,1300 UTC,,23,"20,6",91.0,77.0,78.0
2021/01/01,1400 UTC,,24,"22,4",80.0,73.0,73.0
2021/01/01,1500 UTC,,25,23,74.0,61.0,61.0
2021/01/01,1600 UTC,,26,"24,7",68.0,58.0,61.0
2021/01/01,1700 UTC,,"27,6","25,2",65.0,52.0,59.0
2021/01/01,1800 UTC,,"27,2","25,7",65.0,55.0,63.0
2021/01/01,1900 UTC,,"26,7",23,73.0,61.0,72.0
2021/01/01,2000 UTC,,23,"21,5",87.0,72.0,87.0
2021/01/01,2100 UTC,,"22,1","21,8",91.0,87.0,91.0
2021/01/01,2200 UTC,,"22,1","21,4",91.0,89.0,91.0
2021/01/01,2300 UTC,,"21,4","20,6",92.0,91.0,92.0
2021/01/02,0000 UTC,,"20,7","20,5",92.0,92.0,92.0
2021/01/02,0100 UTC,,"20,6","20,4",92.0,92.0,92.0
2021/01/02,0200 UTC,,"20,6","20,4",91.0,88.0,88.0
2021/01/02,0300 UTC,,"20,6","20,3",89.0,88.0,89.0
2021/01/02,0400 UTC,,"20,4",20,89.0,87.0,88.0
2021/01/02,0500 UTC,,"20,1","19,9",89.0,88.0,88.0
2021/01/02,0600 UTC,,20,"19,9",88.0,87.0,88.0
2021/01/02,0700 UTC,,20,"19,6",92.0,88.0,92.0
2021/01/02,0800 UTC,,"19,6","19,3",93.0,92.0,93.0
2021/01/02,0900 UTC,,"19,3","19,1",93.0,93.0,93.0
2021/01/02,1000 UTC,,"19,5","19,2",93.0,91.0,91.0
2021/01/02,1100 UTC,,20,"19,5",91.0,86.0,86.0
2021/01/02,1200 UTC,,21,20,87.0,82.0,83.0
2021/01/02,1300 UTC,,21,"20,7",84.0,80.0,82.0
2021/01/02,1400 UTC,,"21,1","20,7",85.0,81.0,81.0
2021/01/02,1500 UTC,,"22,4",21,83.0,78.0,79.0
2021/01/02,1600 UTC,,"23,9","22,4",79.0,68.0,72.0
2021/01/02,1700 UTC,,24,23,75.0,65.0,68.0
2021/01/02,1800 UTC,,"24,7","23,4",73.0,65.0,72.0
2021/01/02,1900 UTC,,"23,8","22,8",73.0,68.0,70.0
2021/01/02,2000 UTC,,"23,5","21,9",77.0,70.0,75.0
2021/01/02,2100 UTC,,"22,1","21,4",78.0,75.0,77.0
2021/01/02,2200 UTC,,"21,5","20,3",81.0,76.0,81.0
2021/01/02,2300 UTC,,"20,3","20,2",84.0,81.0,84.0
2021/01/03,0000 UTC,,"20,2",20,85.0,83.0,84.0
2021/01/03,0100 UTC,,20,"19,5",85.0,84.0,85.0
2021/01/03,0200 UTC,,"19,5","19,2",86.0,84.0,85.0
2021/01/03,0300 UTC,,"19,2","19,1",86.0,83.0,83.0
2021/01/03,0400 UTC,,"19,3","19,2",83.0,82.0,83.0
2021/01/03,0500 UTC,,"19,3","18,5",88.0,82.0,88.0
2021/01/03,0600 UTC,,"18,5","18,2",90.0,88.0,89.0
2021/01/03,0700 UTC,,"18,3","17,8",90.0,88.0,90.0
2021/01/03,0800 UTC,,"17,8","17,5",91.0,90.0,91.0
2021/01/03,0900 UTC,,"17,7","17,4",92.0,91.0,92.0
2021/01/03,1000 UTC,,"19,1","17,7",92.0,84.0,84.0
2021/01/03,1100 UTC,,"20,3",19,85.0,76.0,79.0
2021/01/03,1200 UTC,,"21,3","19,8",80.0,67.0,69.0
2021/01/03,1300 UTC,,24,"21,2",69.0,55.0,55.0
2021/01/03,1400 UTC,,"24,8","23,5",57.0,50.0,54.0
2021/01/03,1500 UTC,,26,"24,5",59.0,50.0,55.0
2021/01/03,1600 UTC,,"26,3","24,5",62.0,52.0,53.0
2021/01/03,1700 UTC,,"26,2","24,8",58.0,51.0,54.0
2021/01/03,1800 UTC,,"26,4","24,6",61.0,51.0,58.0
2021/01/03,1900 UTC,,"25,8","23,8",65.0,56.0,64.0
2021/01/03,2000 UTC,,"23,8",22,70.0,63.0,69.0
2021/01/03,2100 UTC,,"22,4","20,8",75.0,69.0,75.0
