Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2022/01/01,0000 UTC,0,"19,1","18,7",94.0,94.0,94.0
2022/01/01,0100 UTC,",2","19,2","18,7",95.0,94.0,95.0
2022/01/01,0200 UTC,0,"18,9","18,5",96.0,95.0,96.0
2022/01/01,0300 UTC,0,"18,7","18,3",96.0,96.0,96.0
2022/01/01,0400 UTC,0,"18,4","17,9",96.0,96.0,96.0
2022/01/01,0500 UTC,0,"18,2","17,6",96.0,96.0,96.0
2022/01/01,0600 UTC,0,18,"17,5",97.0,96.0,97.0
2022/01/01,0700 UTC,0,"17,9","17,5",97.0,97.0,97.0
2022/01/01,0800 UTC,0,"17,9","17,4",97.0,97.0,97.0
2022/01/01,0900 UTC,0,"18,2","17,1",97.0,97.0,97.0
2022/01/01,1000 UTC,0,"19,1","18,1",97.0,97.0,97.0
2022/01/01,1100 UTC,0,"20,6","19,1",97.0,92.0,92.0
2022/01/01,1200 UTC,0,"22,6","20,6",92.0,77.0,79.0
2022/01/01,1300 UTC,0,"23,9","22,4",79.0,75.0,75.0
2022/01/01,1400 UTC,0,"25,3","23,8",77.0,65.0,66.0
2022/01/01,1500 UTC,0,"27,1","24,8",72.0,61.0,67.0
2022/01/01,1600 UTC,1,"24,8","21,4",88.0,67.0,84.0
2022/01/01,1700 UTC,0,"26,5","23,3",85.0,62.0,68.0
2022/01/01,1800 UTC,0,26,"23,2",77.0,66.0,77.0
2022/01/01,1900 UTC,"2,8","23,2","20,9",92.0,77.0,88.0
2022/01/01,2000 UTC,0,"22,8","21,6",89.0,83.0,83.0
2022/01/01,2100 UTC,0,"23,3","22,4",85.0,80.0,85.0
2022/01/01,2200 UTC,0,"22,4","21,5",85.0,80.0,83.0
2022/01/01,2300 UTC,0,"21,6",21,85.0,83.0,84.0
2022/01/02,0000 UTC,",2","21,1","20,2",89.0,84.0,89.0
2022/01/02,0100 UTC,0,"20,4","19,3",93.0,88.0,93.0
2022/01/02,0200 UTC,0,"20,4","19,3",93.0,90.0,92.0
2022/01/02,0300 UTC,0,"19,8","19,1",94.0,92.0,93.0
2022/01/02,0400 UTC,0,"20,4","19,8",93.0,90.0,90.0
2022/01/02,0500 UTC,0,"20,3","19,7",91.0,90.0,91.0
2022/01/02,0600 UTC,0,20,"18,9",94.0,91.0,94.0
2022/01/02,0700 UTC,0,"19,8","19,2",94.0,94.0,94.0
2022/01/02,0800 UTC,0,"19,6","18,9",95.0,94.0,94.0
2022/01/02,0900 UTC,0,"19,4","18,8",95.0,94.0,95.0
2022/01/02,1000 UTC,0,"20,2","19,3",95.0,95.0,95.0
2022/01/02,1100 UTC,0,"22,2","20,2",95.0,84.0,84.0
2022/01/02,1200 UTC,0,"24,3","22,1",84.0,72.0,73.0
2022/01/02,1300 UTC,0,"25,4","23,9",73.0,67.0,67.0
2022/01/02,1400 UTC,0,"27,2","25,2",70.0,58.0,60.0
2022/01/02,1500 UTC,0,"26,3","23,2",77.0,60.0,67.0
2022/01/02,1600 UTC,0,"28,5",26,71.0,53.0,54.0
2022/01/02,1700 UTC,0,29,"27,7",59.0,51.0,55.0
2022/01/02,1800 UTC,0,"30,1","25,8",61.0,49.0,61.0
2022/01/02,1900 UTC,4,"25,8","21,4",91.0,61.0,91.0
2022/01/02,2000 UTC,"1,8","22,7","21,6",91.0,88.0,90.0
2022/01/02,2100 UTC,0,"22,3","21,1",91.0,89.0,91.0
2022/01/02,2200 UTC,0,"21,7","20,6",92.0,90.0,92.0
2022/01/02,2300 UTC,0,"20,9","20,5",94.0,92.0,94.0
2022/01/03,0000 UTC,0,"21,3","20,6",95.0,94.0,94.0
2022/01/03,0100 UTC,0,"21,3","20,8",94.0,93.0,94.0
2022/01/03,0200 UTC,0,"21,4","20,8",94.0,94.0,94.0
2022/01/03,0300 UTC,0,"21,6","21,1",94.0,91.0,91.0
2022/01/03,0400 UTC,0,"21,3","20,5",93.0,91.0,93.0
2022/01/03,0500 UTC,0,"21,3",21,93.0,91.0,91.0
2022/01/03,0600 UTC,0,"21,3","20,4",93.0,90.0,92.0
2022/01/03,0700 UTC,0,21,"20,4",93.0,92.0,93.0
2022/01/03,0800 UTC,0,"20,8","20,1",94.0,92.0,93.0
2022/01/03,0900 UTC,0,"20,8","20,3",94.0,93.0,94.0
2022/01/03,1000 UTC,0,"21,9","20,4",94.0,93.0,93.0
2022/01/03,1100 UTC,0,"23,7","21,9",93.0,78.0,80.0
2022/01/03,1200 UTC,0,"25,1","23,8",80.0,71.0,72.0
2022/01/03,1300 UTC,0,"27,5","24,9",73.0,62.0,62.0
2022/01/03,1400 UTC,0,"28,3","26,9",66.0,55.0,59.0
2022/01/03,1500 UTC,0,"29,5","24,6",73.0,51.0,73.0
2022/01/03,1600 UTC,0,"24,6","23,3",82.0,73.0,82.0
2022/01/03,1700 UTC,",2","27,9","23,7",83.0,63.0,64.0
