Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2020/01/01,0000 UTC,0,"22,8","21,7",84,79,84
2020/01/01,0100 UTC,0,"22,3","21,6",86,84,85
2020/01/01,0200 UTC,0,"22,9",22,85,79,81
2020/01/01,0300 UTC,0,"22,3","21,4",84,80,82
2020/01/01,0400 UTC,0,"21,6","21,1",86,82,86
2020/01/01,0500 UTC,0,"21,4","20,7",88,86,88
2020/01/01,0600 UTC,0,"21,4","20,9",88,84,85
2020/01/01,0700 UTC,0,"21,4","20,8",85,81,82
2020/01/01,0800 UTC,0,21,"20,3",83,81,83
2020/01/01,0900 UTC,0,21,"20,4",83,80,82
2020/01/01,1000 UTC,0,"23,2","20,7",82,70,70
2020/01/01,1100 UTC,0,"24,3","22,9",71,67,68
2020/01/01,1200 UTC,0,"26,5","24,2",68,62,62
2020/01/01,1300 UTC,0,"28,9","26,5",64,54,56
2020/01/01,1400 UTC,0,"29,9","28,6",59,51,52
2020/01/01,1500 UTC,0,"31,1","28,8",58,45,49
2020/01/01,1600 UTC,0,"31,5",30,53,42,43
2020/01/01,1700 UTC,0,"32,6","30,2",47,38,41
2020/01/01,1800 UTC,0,33,"30,8",42,33,36
2020/01/01,1900 UTC,0,"33,5","31,5",39,32,34
2020/01/01,2000 UTC,0,"31,6","29,5",46,34,46
2020/01/01,2100 UTC,0,"29,5","27,5",53,45,53
2020/01/01,2200 UTC,0,"27,5","24,9",62,52,62
2020/01/01,2300 UTC,",4","24,9","21,5",81,62,81
2020/01/02,0000 UTC,",8","21,5","20,7",86,81,86
2020/01/02,0100 UTC,0,"22,4","20,9",86,80,83
2020/01/02,0200 UTC,0,"22,1","21,4",86,83,85
2020/01/02,0300 UTC,0,22,"21,7",85,80,80
2020/01/02,0400 UTC,0,"21,8","21,3",83,80,83
2020/01/02,0500 UTC,0,"21,5","20,7",86,82,83
2020/01/02,0600 UTC,0,"21,3","20,4",86,82,86
2020/01/02,0700 UTC,0,21,20,88,82,82
2020/01/02,0800 UTC,0,"21,5","20,7",82,77,79
2020/01/02,0900 UTC,0,"21,5","20,6",84,79,84
2020/01/02,1000 UTC,",2","21,1","20,7",87,83,87
2020/01/02,1100 UTC,",2","21,6","20,9",87,83,83
2020/01/02,1200 UTC,0,"23,1","21,6",84,76,77
2020/01/02,1300 UTC,",4","23,8","22,9",82,76,80
2020/01/02,1400 UTC,0,"25,9","23,8",80,70,71
2020/01/02,1500 UTC,0,"28,6","25,6",71,58,60
2020/01/02,1600 UTC,0,"29,4",27,64,56,59
2020/01/02,1700 UTC,0,"29,3","27,7",63,56,58
2020/01/02,1800 UTC,0,"28,8","24,1",73,57,73
2020/01/02,1900 UTC,22,"24,1","19,7",91,73,91
2020/01/02,2000 UTC,"36,2","21,1",20,93,91,93
2020/01/02,2100 UTC,"15,4","21,1","20,8",93,92,93
2020/01/02,2200 UTC,"2,8","21,2","20,9",94,93,93
2020/01/02,2300 UTC,"2,8","21,1","20,3",93,93,93
2020/01/03,0000 UTC,0,"20,5","20,2",93,93,93
2020/01/03,0100 UTC,0,"20,5",20,93,93,93
2020/01/03,0200 UTC,2,"20,2","19,9",93,93,93
2020/01/03,0300 UTC,1,"20,1",20,94,93,94
2020/01/03,0400 UTC,1,"20,1","19,3",94,94,94
2020/01/03,0500 UTC,0,"19,3","19,1",94,94,94
2020/01/03,0600 UTC,0,"19,2","18,8",94,94,94
2020/01/03,0700 UTC,0,19,"18,7",94,94,94
2020/01/03,0800 UTC,0,"18,9","18,5",94,94,94
2020/01/03,0900 UTC,0,"19,1","18,8",94,94,94
2020/01/03,1000 UTC,",2","19,5","18,8",94,94,94
2020/01/03,1100 UTC,0,"21,2","19,2",94,92,92
2020/01/03,1200 UTC,0,21,"20,1",92,86,87
2020/01/03,1300 UTC,0,21,"20,1",88,83,83
2020/01/03,1400 UTC,0,"22,9","20,8",83,74,75
2020/01/03,1500 UTC,0,"23,9","22,1",78,73,77
2020/01/03,1600 UTC,0,"24,3","22,3",79,67,73
2020/01/03,1700 UTC,0,"24,7","22,8",74,65,70
2020/01/03,1800 UTC,0,24,"21,4",78,67,77
2020/01/03,1900 UTC,0,"22,7","21,1",78,67,68
2020/01/03,2000 UTC,0,"22,5","21,9",70,66,66
2020/01/03,2100 UTC,0,"22,2","20,4",75,65,75
2020/01/03,2200 UTC,0,"20,5","19,6",76,73,76
2020/01/03,2300 UTC,0,"19,6","18,8",80,76,80
2020/01/04,0000 UTC,0,"18,8","18,4",85,80,85
2020/01/04,0100 UTC,0,"18,4","18,2",87,85,87
2020/01/04,0200 UTC,0,"18,3","17,8",89,87,88
2020/01/04,0300 UTC,0,"17,8","17,5",90,89,90
2020/01/04,0400 UTC,0,"17,7","17,2",92,90,92
2020/01/04,0500 UTC,0,"17,8","17,4",92,91,92
2020/01/04,0600 UTC,0,"17,8","17,3",92,91,91
2020/01/04,0700 UTC,0,"17,8","17,1",92,91,92
2020/01/04,0800 UTC,0,"18,1","17,6",92,92,92
2020/01/04,0900 UTC,0,"18,3",18,92,92,92
2020/01/04,1000 UTC,0,"18,9","18,3",92,91,91
2020/01/04,1100 UTC,0,"20,6","18,9",91,86,87
2020/01/04,1200 UTC,0,"21,4","19,6",89,86,86
