Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2012-01-01,00:00,",2","20,5",20,94,93,94
2012-01-01,01:00,"6,8","20,1","19,7",94,93,94
2012-01-01,02:00,8,"19,9","19,5",95,94,95
2012-01-01,03:00,"1,6","19,6","19,3",95,95,95
2012-01-01,04:00,1,"19,6","19,3",95,95,95
2012-01-01,05:00,",4","19,6","19,4",95,95,95
2012-01-01,06:00,1,"19,6","19,4",95,95,95
2012-01-01,07:00,"1,8","19,5","19,3",95,95,95
2012-01-01,08:00,0,"19,5","19,3",96,95,95
2012-01-01,09:00,",2","19,5","19,4",95,95,95
2012-01-01,10:00,0,20,"19,5",95,94,94
2012-01-01,11:00,",2",21,"19,9",94,93,93
2012-01-01,12:00,0,"21,5","20,6",93,92,92
2012-01-01,13:00,"9,6","22,1","19,9",93,88,93
2012-01-01,14:00,",2","23,3",20,95,86,87
2012-01-01,15:00,0,"24,3","22,1",89,77,80
2012-01-01,16:00,",2","24,1","21,6",84,75,83
2012-01-01,17:00,",8","22,2","21,2",89,78,78
2012-01-01,18:00,",6","22,1","19,7",90,78,90
2012-01-01,19:00,"2,4",20,"19,3",93,90,91
2012-01-01,20:00,",2","19,4","18,1",91,87,89
2012-01-01,21:00,0,"18,2","17,7",89,87,89
2012-01-01,22:00,0,"17,9","17,3",89,88,88
2012-01-01,23:00,0,"17,4","16,7",92,87,92
2012-01-02,00:00,0,"16,9","16,6",94,92,93
2012-01-02,01:00,0,"16,9","16,7",94,93,94
2012-01-02,02:00,0,"16,8","16,5",94,93,93
2012-01-02,03:00,0,"16,6","16,5",93,93,93
2012-01-02,04:00,0,"16,5","16,3",93,93,93
2012-01-02,05:00,0,"16,5","16,1",94,93,94
2012-01-02,06:00,0,"16,4","16,1",94,94,94
2012-01-02,07:00,0,"16,3",16,94,92,92
2012-01-02,08:00,0,"16,4","16,1",92,91,91
2012-01-02,09:00,0,"16,4","16,1",92,91,91
2012-01-02,10:00,0,"17,3","16,4",92,87,88
2012-01-02,11:00,0,"18,4",17,89,83,84
2012-01-02,12:00,0,"19,9","18,4",84,76,77
2012-01-02,13:00,0,"20,9","19,8",80,73,76
2012-01-02,14:00,0,"23,4","20,8",78,63,70
2012-01-02,15:00,0,"23,4",21,74,64,66
2012-01-02,16:00,0,"24,4","22,3",70,58,61
2012-01-02,17:00,0,"25,7","23,2",65,52,55
2012-01-02,18:00,0,"25,1",23,63,53,60
2012-01-02,19:00,"2,2","23,6","20,3",79,58,79
2012-01-02,20:00,"3,6","20,5","19,5",87,80,84
2012-01-02,21:00,0,"19,9",19,88,84,85
2012-01-02,22:00,0,"19,6","18,5",85,79,81
2012-01-02,23:00,0,"18,5","17,4",82,77,82
2012-01-03,00:00,0,"17,6","16,9",88,82,88
2012-01-03,01:00,0,"16,9","16,6",91,88,91
2012-01-03,02:00,0,"17,2","16,5",92,90,92
2012-01-03,03:00,0,"16,7","16,3",93,91,93
2012-01-03,04:00,0,"16,3","15,8",94,93,94
2012-01-03,05:00,0,"15,8","15,2",95,94,95
2012-01-03,06:00,0,"15,3","15,1",96,95,96
2012-01-03,07:00,0,"15,3","15,1",96,96,96
2012-01-03,08:00,",2","15,3","15,1",96,96,96
2012-01-03,09:00,0,"15,1","14,8",97,96,97
2012-01-03,10:00,0,"16,2","15,1",97,97,97
2012-01-03,11:00,0,"19,8",16,97,81,81
2012-01-03,12:00,0,"21,7","19,3",83,65,66
2012-01-03,13:00,0,24,"21,2",69,53,57
2012-01-03,14:00,0,"25,6","23,3",59,43,52
2012-01-03,15:00,0,27,"24,9",56,44,51
2012-01-03,16:00,0,"28,3","25,9",52,39,43
2012-01-03,17:00,0,"29,1","26,2",48,35,36
2012-01-03,18:00,0,"29,4","27,2",47,35,38
2012-01-03,19:00,0,"29,7","26,8",42,33,33
2012-01-03,20:00,0,"29,3",26,46,33,37
2012-01-03,21:00,0,"28,7",26,58,32,55
2012-01-03,22:00,0,26,"23,6",62,55,61
2012-01-03,23:00,0,"23,6",22,66,62,64
2012-01-04,00:00,0,22,"20,5",78,64,78
2012-01-04,01:00,0,"20,6","19,4",82,77,79
2012-01-04,02:00,0,"19,5","18,6",84,78,84
2012-01-04,03:00,0,"18,7","17,4",90,84,90
2012-01-04,04:00,0,"17,6","16,9",92,90,92
2012-01-04,05:00,0,"16,9","16,4",94,92,94
2012-01-04,06:00,0,"16,5","16,3",95,94,95
2012-01-04,07:00,0,"16,3","16,1",95,94,95
2012-01-04,08:00,0,"16,1","15,7",95,94,95
2012-01-04,09:00,0,"15,8","15,3",96,95,96
2012-01-04,10:00,0,"18,2","15,8",96,90,90
2012-01-04,11:00,0,"21,7","18,2",90,71,75
2012-01-04,12:00,0,"24,7","21,5",75,52,54
2012-01-04,13:00,0,"26,6","24,6",55,31,33
2012-01-04,14:00,0,"28,2",26,36,25,26
2012-01-04,15:00,0,"28,9","27,4",38,23,27
