Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2023/01/01,0000 UTC,0,"21,4","20,3",90.0,86.0,88.0
2023/01/01,0100 UTC,0,"20,4","19,8",89.0,88.0,89.0
2023/01/01,0200 UTC,0,"19,8",19,93.0,89.0,93.0
2023/01/01,0300 UTC,0,"19,7","19,2",93.0,91.0,93.0
2023/01/01,0400 UTC,0,"19,6","18,8",94.0,92.0,94.0
2023/01/01,0500 UTC,0,19,18,96.0,94.0,96.0
2023/01/01,0600 UTC,0,"18,6","18,2",97.0,96.0,97.0
2023/01/01,0700 UTC,0,"18,2","17,6",97.0,97.0,97.0
2023/01/01,0800 UTC,0,"17,9","17,2",97.0,97.0,97.0
2023/01/01,0900 UTC,0,"17,9","17,5",97.0,97.0,97.0
2023/01/01,1000 UTC,0,"18,9","17,8",98.0,97.0,98.0
2023/01/01,1100 UTC,0,22,"18,6",98.0,94.0,94.0
2023/01/01,1200 UTC,0,"24,6","21,7",93.0,70.0,75.0
2023/01/01,1300 UTC,0,"26,7","23,7",76.0,59.0,59.0
2023/01/01,1400 UTC,0,"28,4","24,4",75.0,59.0,60.0
2023/01/01,1500 UTC,0,"28,5","26,2",68.0,56.0,68.0
2023/01/01,1600 UTC,0,"28,6","26,1",68.0,56.0,66.0
2023/01/01,1700 UTC,0,"28,3","24,7",70.0,53.0,70.0
2023/01/01,1800 UTC,0,"26,7","23,6",77.0,67.0,72.0
2023/01/01,1900 UTC,0,27,"25,3",73.0,66.0,69.0
2023/01/01,2000 UTC,0,"25,8",24,73.0,66.0,73.0
2023/01/01,2100 UTC,0,"24,2","23,3",77.0,72.0,76.0
2023/01/01,2200 UTC,0,"23,3","22,1",81.0,76.0,81.0
2023/01/01,2300 UTC,0,"22,2",21,85.0,81.0,85.0
2023/01/02,0000 UTC,0,"21,2","20,1",88.0,85.0,87.0
2023/01/02,0100 UTC,0,"20,7","20,1",88.0,85.0,86.0
2023/01/02,0200 UTC,0,"20,7","20,1",87.0,85.0,85.0
2023/01/02,0300 UTC,0,"21,1","20,7",85.0,80.0,82.0
2023/01/02,0400 UTC,0,21,"19,9",86.0,82.0,86.0
2023/01/02,0500 UTC,0,"20,1","19,4",89.0,86.0,89.0
2023/01/02,0600 UTC,0,"19,6",19,91.0,89.0,91.0
2023/01/02,0700 UTC,0,"19,1","18,4",94.0,91.0,93.0
2023/01/02,0800 UTC,0,"18,5",18,95.0,93.0,95.0
2023/01/02,0900 UTC,0,"18,4","17,7",96.0,95.0,96.0
2023/01/02,1000 UTC,0,"21,5","18,2",97.0,94.0,94.0
2023/01/02,1100 UTC,0,"23,8","21,5",94.0,69.0,69.0
2023/01/02,1200 UTC,0,"25,6","23,5",70.0,63.0,63.0
2023/01/02,1300 UTC,0,"26,7","25,1",68.0,58.0,65.0
2023/01/02,1400 UTC,0,28,"26,6",66.0,54.0,61.0
2023/01/02,1500 UTC,0,"28,5","26,8",63.0,53.0,56.0
2023/01/02,1600 UTC,0,"29,4","27,7",60.0,50.0,55.0
2023/01/02,1700 UTC,0,"30,2","28,1",59.0,45.0,50.0
2023/01/02,1800 UTC,0,"30,6","29,2",54.0,41.0,44.0
2023/01/02,1900 UTC,0,"30,9","28,5",50.0,39.0,44.0
2023/01/02,2000 UTC,0,"30,1","26,5",63.0,40.0,60.0
2023/01/02,2100 UTC,0,"26,7","25,2",64.0,60.0,61.0
2023/01/02,2200 UTC,0,"25,5",24,65.0,61.0,61.0
2023/01/02,2300 UTC,0,"24,5",24,63.0,61.0,63.0
2023/01/03,0000 UTC,0,"24,3","23,5",66.0,61.0,66.0
2023/01/03,0100 UTC,0,"23,8","22,9",76.0,65.0,73.0
2023/01/03,0200 UTC,",4",23,"21,2",86.0,73.0,86.0
2023/01/03,0300 UTC,",8","21,2","20,2",93.0,86.0,93.0
2023/01/03,0400 UTC,",4","20,6","20,1",95.0,93.0,94.0
2023/01/03,0500 UTC,0,"20,6","20,2",94.0,93.0,93.0
2023/01/03,0600 UTC,0,"20,5","19,3",93.0,91.0,93.0
2023/01/03,0700 UTC,0,"20,2","19,2",94.0,90.0,90.0
2023/01/03,0800 UTC,0,"20,2","19,8",90.0,89.0,90.0
2023/01/03,0900 UTC,0,"20,2","19,6",92.0,90.0,92.0
2023/01/03,1000 UTC,0,"20,3","19,4",94.0,92.0,93.0
2023/01/03,1100 UTC,0,"21,8","20,3",93.0,83.0,84.0
2023/01/03,1200 UTC,0,"25,8","21,6",85.0,69.0,70.0
2023/01/03,1300 UTC,0,"25,2","24,5",74.0,67.0,72.0
2023/01/03,1400 UTC,0,"25,7","24,6",73.0,66.0,71.0
2023/01/03,1500 UTC,0,"27,5","25,2",72.0,58.0,61.0
2023/01/03,1600 UTC,0,"27,2",25,68.0,60.0,64.0
2023/01/03,1700 UTC,0,"28,2","26,3",64.0,56.0,57.0
2023/01/03,1800 UTC,0,"27,7","25,6",64.0,55.0,64.0
2023/01/03,1900 UTC,",4","27,8","24,7",78.0,56.0,72.0
2023/01/03,2000 UTC,0,"26,2","25,1",74.0,64.0,67.0
2023/01/03,2100 UTC,0,"25,9",23,79.0,67.0,78.0
2023/01/03,2200 UTC,",2",23,"22,1",87.0,78.0,87.0
2023/01/03,2300 UTC,"3,8","22,2","20,8",93.0,86.0,92.0
2023/01/04,0000 UTC,0,21,"20,5",93.0,91.0,93.0
2023/01/04,0100 UTC,0,"20,9","20,5",93.0,90.0,90.0
2023/01/04,0200 UTC,0,"20,9","20,4",91.0,89.0,90.0
2023/01/04,0300 UTC,0,"20,9","20,7",90.0,88.0,89.0
2023/01/04,0400 UTC,0,"20,9","20,7",89.0,88.0,89.0
2023/01/04,0500 UTC,0,"20,7",20,91.0,89.0,91.0
2023/01/04,0600 UTC,0,"20,6","19,9",93.0,91.0,91.0
2023/01/04,0700 UTC,0,"20,6","19,7",93.0,90.0,93.0
