Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2017-01-01,00:00,0,"23,9","22,2",85,75,85
2017-01-01,01:00,0,"23,2",22,86,79,79
2017-01-01,02:00,0,"23,7","22,5",80,73,76
2017-01-01,03:00,0,"23,2","22,8",80,74,75
2017-01-01,04:00,0,"23,1","21,6",82,74,82
2017-01-01,05:00,0,"21,7","20,9",88,81,81
2017-01-01,06:00,0,"22,1","21,2",84,79,84
2017-01-01,07:00,0,"21,6","21,1",84,78,78
2017-01-01,08:00,0,"21,9","21,5",79,76,78
2017-01-01,09:00,0,"21,7","20,9",83,79,82
2017-01-01,10:00,0,"22,4","21,1",83,80,81
2017-01-01,11:00,0,"24,4","22,1",80,69,70
2017-01-01,12:00,0,"26,2",24,72,63,64
2017-01-01,13:00,0,"27,9","25,4",65,54,55
2017-01-01,14:00,0,"29,3","27,9",60,52,54
2017-01-01,15:00,0,30,"28,2",60,51,54
2017-01-01,16:00,0,"30,7","28,2",57,48,56
2017-01-01,17:00,0,"30,9","28,3",60,46,51
2017-01-01,18:00,0,"31,7","29,5",52,44,47
2017-01-01,19:00,"6,6","29,9","20,8",83,47,74
2017-01-01,20:00,0,"25,2","24,2",76,66,76
2017-01-01,21:00,0,"26,7","24,6",76,63,65
2017-01-01,22:00,0,"24,6","23,7",68,64,66
2017-01-01,23:00,0,"24,1","22,9",74,66,66
2017-01-02,00:00,0,"24,1",23,73,66,72
2017-01-02,01:00,0,"23,4","22,7",73,66,66
2017-01-02,02:00,0,"23,4","22,1",75,66,75
2017-01-02,03:00,0,"22,6",22,75,69,69
2017-01-02,04:00,0,"22,9","22,5",73,68,71
2017-01-02,05:00,0,"22,9","22,1",76,71,73
2017-01-02,06:00,0,"22,7","21,4",82,72,75
2017-01-02,07:00,0,22,"21,4",79,75,76
2017-01-02,08:00,0,"21,9",21,82,76,82
2017-01-02,09:00,0,"21,6",21,84,78,84
2017-01-02,10:00,0,"22,3",21,86,81,81
2017-01-02,11:00,0,"24,6","22,3",81,72,74
2017-01-02,12:00,0,"24,5","23,1",76,70,76
2017-01-02,13:00,0,"25,8","24,1",76,62,66
2017-01-02,14:00,0,"26,9","24,5",70,58,62
2017-01-02,15:00,0,30,"26,1",64,51,51
2017-01-02,16:00,0,"30,4","28,7",58,48,52
2017-01-02,17:00,0,"30,6","29,1",59,46,50
2017-01-02,18:00,0,"32,1","29,2",54,43,50
2017-01-02,19:00,0,"29,2","27,3",62,50,61
2017-01-02,20:00,0,"27,3","24,9",70,60,70
2017-01-02,21:00,"8,6","24,9",19,93,70,93
2017-01-02,22:00,1,"19,8","19,1",94,93,94
2017-01-02,23:00,"1,4","19,6","19,3",94,94,94
2017-01-03,00:00,"3,6","19,6","19,2",94,93,93
2017-01-03,01:00,"1,6","19,7","19,3",94,93,94
2017-01-03,02:00,",6","20,3","19,6",94,94,94
2017-01-03,03:00,0,"21,2","20,3",94,93,93
2017-01-03,04:00,0,"21,1","20,3",93,92,92
2017-01-03,05:00,",2","20,5","20,3",92,92,92
2017-01-03,06:00,0,"20,4","19,9",93,92,93
2017-01-03,07:00,0,"20,3",20,94,93,94
2017-01-03,08:00,0,"20,2",20,94,94,94
2017-01-03,09:00,0,"20,2","20,1",94,94,94
2017-01-03,10:00,0,"21,3","20,2",94,93,93
2017-01-03,11:00,0,"23,1",21,93,79,80
2017-01-03,12:00,0,"25,2","23,1",80,65,67
