Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2019/01/01,0000 UTC,0,"22,7","21,8",76.0,69.0,76.0
2019/01/01,0100 UTC,0,22,"21,1",81.0,76.0,81.0
2019/01/01,0200 UTC,0,22,21,81.0,71.0,72.0
2019/01/01,0300 UTC,0,"21,9","21,3",77.0,71.0,77.0
2019/01/01,0400 UTC,0,"21,6","19,5",84.0,77.0,84.0
2019/01/01,0500 UTC,0,"19,5","18,9",90.0,84.0,90.0
2019/01/01,0600 UTC,0,"19,3","18,6",91.0,90.0,91.0
2019/01/01,0700 UTC,0,"18,9","18,7",92.0,91.0,92.0
2019/01/01,0800 UTC,0,"19,3","18,9",92.0,92.0,92.0
2019/01/01,0900 UTC,0,20,"18,9",92.0,88.0,89.0
2019/01/01,1000 UTC,0,"21,8",19,90.0,85.0,85.0
2019/01/01,1100 UTC,0,"24,4","21,8",84.0,68.0,69.0
2019/01/01,1200 UTC,0,"26,1","23,6",70.0,61.0,62.0
2019/01/01,1300 UTC,0,"27,2","25,6",63.0,57.0,61.0
2019/01/01,1400 UTC,0,29,"26,8",62.0,52.0,52.0
2019/01/01,1500 UTC,0,"29,8",28,58.0,50.0,54.0
2019/01/01,1600 UTC,0,"31,7","28,9",56.0,43.0,45.0
2019/01/01,1700 UTC,0,"32,1","30,6",47.0,38.0,44.0
2019/01/01,1800 UTC,0,"32,6","29,3",50.0,36.0,41.0
2019/01/01,1900 UTC,"2,4","32,2","23,6",85.0,40.0,85.0
2019/01/01,2000 UTC,"6,8","23,6","22,7",88.0,85.0,87.0
2019/01/01,2100 UTC,"7,4",23,"21,1",92.0,86.0,92.0
2019/01/01,2200 UTC,"2,2","21,5","21,2",92.0,92.0,92.0
2019/01/01,2300 UTC,0,"21,7","21,1",92.0,91.0,91.0
