casos
70
39
54
29
21
16
25
21
25
20
9
11
2
2
0
0
1
0
1
7
4
8
6
7
7
6
7
6
3
4
8
4
3
6
10
5
10
10
13
10
10
23
19
25
18
59
48
39
31
22
9
15
14
15
6
8
2
6
5
1
2
2
3
1
0
3
0
6
4
1
1
3
2
1
4
2
2
1
2
0
3
1
3
6
2
2
2
2
2
3
4
5
6
7
9
7
7
18
19
20
23
16
32
19
6
6
8
9
6
4
3
6
1
5
5
1
2
3
1
0
1
3
1
1
3
3
2
2
0
3
1
5
3
1
0
1
5
2
1
2
2
9
1
3
1
3
5
9
8
5
5
6
17
15
13
10
15
23
18
24
26
33
29
11
15
11
9
13
6
3
11
4
7
3
5
8
4
8
11
6
6
1
5
12
5
8
2
5
8
16
10
9
12
13
17
35
46
41
75
101
153
168
176
190
137
126
99
89
77
40
38
23
10
13
15
7
8
3
5
5
6
6
3
2
8
7
1
3
2
1
5
4
2
1
1
0
3
2
2
1
1
1
3
4
2
1
3
6
4
3
1
2
6
3
5
11
6
6
2
10
7
7
4
6
10
5
6
7
10
8
9
6
5
7
5
9
5
8
3
6
7
12
4
7
10
7
2
4
10
3
4
5
3
0
2
3
3
2
3
0
2
5
5
8
6
7
1
11
5
14
9
7
14
7
8
17
17
26
16
18
8
21
13
17
14
27
2
13
15
17
17
24
12
18
18
13
15
9
12
6
5
7
7
11
3
10
5
6
3
3
6
4
1
5
1
6
5
19
12
35
43
73
127
117
138
122
179
128
148
103
133
106
92
75
38
42
32
19
28
52
39
36
23
22
13
13
10
14
9
6
11
4
4
1
1
3
4
4
5
6
8
3
1
13
16
27
39
56
76
141
293
423
454
473
676
857
789
944
1084
1227
1047
687
451
321
230
126
87
61
33
10
10
11
5
14
14
10
4
14
8
12
13
17
15
20
19
8
14
13
15
11
8
14
15
9
7
16
29
45
75
93
169
283
432
387
629
776
873
770
419
301
136
62
45
26
20
20
15
8
16
18
4
5
11
12
14
6
7
5
12
9
6
10
10
4
2
5
4
4
4
2
5
6
5
2
2
4
6
5
7
10
14
14
22
27
42
34
57
68
81
68
73
29
53
62
32
39
24
12
9
2
9
8
2
9
4
2
12
6
6
3
4
9
6
9
5
2
6
1
3
1
3
5
4
7
8
6
3
6
4
4
5
8
4
8
9
12
9
10
12
19
22
33
22
22
21
27
17
14
14
7
6
16
21
8
9
8
8
6
8
4
6
5
3
5
7
2
4
1
7
4
7
6
9
4
8
6
5
10
8
6
10
5
3
10
7
13
25
23
44
55
75
73
