data_iniSE,umidmin,umidmed,umidmax,tempmin,tempmed,tempmax,casos,"PRECIPITA TOTAL, HORARIO (mm)"
2023-03-19,49.5053060769231,78.3342580769231,95.7896296153846,18.6153846153846,22.5512818461538,28.4615384615385,70,20.6
2023-03-12,89.5288286363636,91.6723295454545,94.1677286363636,20.2727272727273,20.6590909090909,20.9545454545455,39,99.0
2023-03-05,85.8502327619048,88.5151758095238,90.9303171428571,20.5714285714286,20.9761905714286,21.4285714285714,54,32.0
2023-02-26,85.4188030434783,85.8296286956522,86.2499986956522,22.0869565217391,22.268115826087,22.5652173913043,29,25.4
2023-02-19,63.334366,86.4889566923077,99.3047511538462,18.7307692307692,21.7951504615385,26.6538461538462,21,65.0
2023-02-12,85.1661911764706,86.6958917647059,88.2447072352941,21.8823529411765,22.2156863529412,22.5882352941176,16,121.4
2023-02-05,94.1583214285714,94.5855528571429,95.0127842857143,20.8571428571429,20.9285714285714,21.0,25,56.400000000000006
2023-01-29,77.4193122857143,85.9522194285714,91.0846917142857,21.4285714285714,22.2738094285714,23.8571428571429,21,103.8
2023-01-22,80.7487121428571,81.0224321428571,81.2961521428571,21.7142857142857,21.7857142857143,21.8571428571429,25,41.2
2023-01-15,88.5952594285714,88.5952594285714,88.5952594285714,22.1428571428571,22.1428571428571,22.1428571428571,20,31.6
2023-01-08,69.7495171428571,84.7196308571429,94.3624451428571,19.5714285714286,21.6309522857143,24.7142857142857,9,58.6
2023-01-01,67.9771492857143,84.7314157142857,97.4935971428571,17.8571428571429,20.2440477142857,23.4285714285714,11,78.2
2022-12-25,78.1657876666667,89.80408,100.0,18.6666666666667,20.527778,23.0,2,71.2
2022-12-18,65.253974,78.7949475,88.18554,18.0,19.854167,23.0,2,9.8
2022-12-11,61.0439386666667,80.3487966666667,96.0010216666667,17.3333333333333,20.8781566666667,25.8333333333333,0,55.2
2022-12-04,55.328193,80.2759438571429,98.2330542857143,18.0,22.3966451428571,27.7142857142857,0,89.4
2022-11-27,59.016608,85.5919057142857,100.0,17.7142857142857,20.7226188571429,26.2857142857143,1,102.2
2022-11-20,62.4118837142857,84.1473314285714,99.1132242857143,16.1428571428571,19.2519835714286,23.8571428571429,0,95.4
2022-11-13,53.4215605714286,73.6300385714286,88.31887,17.8571428571429,20.4428571428571,25.0,1,8.2
2022-11-06,53.8279281428571,79.9286987142857,95.5690157142857,13.7142857142857,17.608225,23.1428571428571,7,29.4
2022-10-30,62.7958451428571,80.0313054285714,98.211892,13.7142857142857,17.0786341428571,20.7142857142857,4,51.0
2022-10-23,49.247917,76.1492842857143,97.3329214285714,16.2857142857143,20.8837304285714,27.2857142857143,8,2.2
2022-10-16,53.8379927142857,79.6410021428571,96.5888928571429,17.4285714285714,20.4842134285714,25.5714285714286,6,12.0
2022-10-09,62.2818174285714,87.4698857142857,98.2591877142857,17.1428571428571,19.8066771428571,25.4285714285714,7,19.4
2022-10-02,58.3320092857143,80.5302642857143,98.2330542857143,15.5714285714286,18.7765151428571,23.4285714285714,7,12.0
2022-09-25,77.233487,90.4690714285714,98.27523,14.0,15.7554944285714,18.8571428571429,6,100.4
2022-09-18,54.3010842857143,80.1743787142857,96.3778242857143,12.1428571428571,15.7002165714286,20.8571428571429,7,21.0
2022-09-11,77.4007047142857,90.1127565714286,100.0,13.5714285714286,14.7936505714286,16.5714285714286,6,9.8
2022-09-04,44.8128845714286,73.8530071428571,91.3412837142857,13.5714285714286,17.875,25.1428571428571,3,0.6000000000000001
2022-08-28,57.4881458571429,80.3560257142857,95.4486214285714,10.7142857142857,14.0913798571429,19.1428571428571,4,0.0
2022-08-21,49.1121288571429,75.6348818571429,91.9735342857143,13.5714285714286,16.7944138571429,21.7142857142857,8,0.0
2022-08-14,49.5372775714286,70.8119067142857,87.4127851428571,12.4285714285714,16.3014068571429,21.7142857142857,4,6.6000000000000005
2022-08-07,57.0141755714286,83.3822514285714,98.2127914285714,13.2857142857143,16.0076528571429,20.1428571428571,3,1.0
2022-07-31,60.0067572857143,79.8626802857143,95.6267848571429,11.5714285714286,15.2916667142857,20.1428571428571,6,19.8
2022-07-24,45.5872324285714,73.092707,94.0953862857143,12.2857142857143,17.1773918571429,23.4285714285714,10,8.4
2022-07-17,49.9475435714286,76.6939872857143,97.2849505714286,14.4285714285714,18.4503965714286,24.2857142857143,5,0.0
2022-07-10,53.4366652857143,77.8517798571429,94.8981785714286,14.2857142857143,17.7156864285714,22.7142857142857,10,0.0
2022-07-03,43.3356452857143,74.4595045714286,99.1065457142857,11.4285714285714,17.1709957142857,24.0,10,0.6000000000000001
2022-06-26,54.8308625714286,84.8924977142857,100.0,12.1428571428571,15.9267295714286,21.8571428571429,13,1.6
2022-06-19,53.0172445714286,79.8523005714286,98.2130157142857,13.0,17.4226191428571,23.1428571428571,10,0.0
2022-06-12,44.7927224285714,77.6022721428571,96.3741485714286,9.71428571428571,14.3338508571429,20.7142857142857,10,1.0
2022-06-05,77.0320127142857,90.5583005714286,99.1132242857143,14.4285714285714,16.4743198571429,19.5714285714286,23,29.2
2022-05-29,67.646896,84.2533685714286,98.2370428571429,15.2857142857143,17.8732997142857,21.8571428571429,19,30.4
2022-05-22,38.8276431428571,73.3382177142857,97.258082,10.7142857142857,16.358225,23.8571428571429,25,0.6000000000000001
2022-05-15,49.9827784285714,75.171924,94.0539565714286,10.7142857142857,14.2718252857143,18.7142857142857,18,8.8
2022-05-08,61.9082402857143,84.0265628571429,96.4593577142857,15.2857142857143,18.0032048571429,22.4285714285714,59,4.2
