Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2016-01-01,00:00,0,"23,5","22,5",81,78,81
2016-01-01,01:00,0,"22,6","21,9",83,80,83
2016-01-01,02:00,0,"22,3","21,9",86,82,86
2016-01-01,03:00,0,22,"21,4",88,86,88
2016-01-01,04:00,0,"21,5","21,4",88,87,88
2016-01-01,05:00,0,"21,5","21,3",89,88,89
2016-01-01,06:00,0,"21,4","21,1",90,89,90
2016-01-01,07:00,0,"21,4",21,90,87,88
2016-01-01,08:00,0,"21,1","20,4",91,88,91
2016-01-01,09:00,0,"20,5","20,1",93,91,93
2016-01-01,10:00,0,"21,9","20,4",93,85,86
2016-01-01,11:00,0,"23,4","21,9",86,77,78
2016-01-01,12:00,0,"25,4","23,1",79,69,73
2016-01-01,13:00,0,"27,3","25,5",73,64,64
2016-01-01,14:00,0,"27,8","26,4",70,62,65
2016-01-01,15:00,0,"29,1","27,4",67,55,62
2016-01-01,16:00,0,"29,8","27,4",67,54,54
2016-01-01,17:00,0,"29,9","27,3",68,54,62
2016-01-01,18:00,0,"29,8","27,5",64,51,59
2016-01-01,19:00,0,"30,5",28,60,51,58
2016-01-01,20:00,"5,4","28,6","21,8",92,57,92
2016-01-01,21:00,",2","22,2","21,5",92,90,91
2016-01-01,22:00,0,"22,3","21,9",92,91,91
2016-01-01,23:00,",6","22,1","21,9",93,91,93
2016-01-02,00:00,0,"22,3","21,7",94,93,94
2016-01-02,01:00,0,"22,3","21,6",94,91,91
2016-01-02,02:00,0,22,"21,6",92,91,91
2016-01-02,03:00,0,"22,1","21,9",91,91,91
2016-01-02,04:00,0,"22,2",22,92,91,92
2016-01-02,05:00,0,"22,3","22,2",92,91,91
2016-01-02,06:00,0,"22,3","22,1",92,91,91
2016-01-02,07:00,0,"22,4","22,2",91,89,89
2016-01-02,08:00,0,"22,2","22,1",91,89,90
2016-01-02,09:00,"1,4","22,1","21,7",93,90,93
2016-01-02,10:00,"2,4","21,8","21,6",94,93,94
2016-01-02,11:00,",4","22,1","21,6",94,93,93
2016-01-02,12:00,",2","22,8",22,93,90,90
2016-01-02,13:00,",4",23,"22,5",90,86,86
2016-01-02,14:00,0,"24,9",23,86,77,77
2016-01-02,15:00,0,28,"24,8",80,67,68
2016-01-02,16:00,0,"27,9","25,5",76,66,71
2016-01-02,17:00,0,"28,4","25,6",73,59,64
2016-01-02,18:00,"6,4","28,3","21,6",94,61,94
2016-01-02,19:00,"3,8","23,5",22,94,90,90
2016-01-02,20:00,"1,6","23,7","22,6",91,83,84
2016-01-02,21:00,",4",23,"22,4",85,83,83
2016-01-02,22:00,",2","22,4","21,5",87,83,87
2016-01-02,23:00,",2","21,5","20,7",92,87,92
2016-01-03,00:00,",8","20,7","20,5",93,92,93
2016-01-03,01:00,",4","20,6","20,3",94,93,93
2016-01-03,02:00,",4","20,5","20,2",93,93,93
2016-01-03,03:00,",2","20,4","20,2",93,92,92
2016-01-03,04:00,",4","20,4","20,2",93,92,93
2016-01-03,05:00,",2","20,3","20,2",93,93,93
2016-01-03,06:00,0,"20,3","20,2",94,93,94
2016-01-03,07:00,",2","20,4","20,3",94,93,93
2016-01-03,08:00,0,"20,5","20,3",93,93,93
2016-01-03,09:00,",2","20,5","20,3",93,93,93
2016-01-03,10:00,0,"20,7","20,4",93,93,93
2016-01-03,11:00,",2","21,5","20,7",93,90,90
2016-01-03,12:00,0,"21,8","21,3",90,89,89
2016-01-03,13:00,0,"22,3","21,3",91,88,88
2016-01-03,14:00,",2","22,9",22,88,82,83
2016-01-03,15:00,0,"23,1","22,2",85,82,83
2016-01-03,16:00,0,"23,4","22,6",85,79,81
2016-01-03,17:00,0,"23,7","22,7",81,76,77
2016-01-03,18:00,0,"23,1","22,3",82,76,79
2016-01-03,19:00,0,23,"22,4",79,76,76
2016-01-03,20:00,",2","22,9","21,7",81,75,81
2016-01-03,21:00,0,"22,1","20,9",85,78,85
2016-01-03,22:00,0,21,"20,2",91,85,91
2016-01-03,23:00,0,"20,2","19,6",92,91,91
2016-01-04,00:00,0,"19,8","19,5",92,89,89
2016-01-04,01:00,0,"20,2","19,7",89,83,83
2016-01-04,02:00,",2","20,2",20,84,83,84
2016-01-04,03:00,0,"20,2",20,84,81,82
2016-01-04,04:00,0,"20,1","19,8",82,80,81
2016-01-04,05:00,0,"19,9","19,5",83,81,81
2016-01-04,06:00,0,"19,6","18,9",85,80,84
2016-01-04,07:00,0,"18,9","18,3",86,84,86
2016-01-04,08:00,",2","18,7","18,3",86,84,84
2016-01-04,09:00,0,"18,7","18,4",86,84,85
2016-01-04,10:00,0,"19,4","18,6",85,80,80
2016-01-04,11:00,0,"21,2","19,3",81,70,70
2016-01-04,12:00,0,"22,9","21,2",71,64,66
2016-01-04,13:00,0,24,22,67,59,61
2016-01-04,14:00,0,"24,9","23,3",62,56,58
2016-01-04,15:00,0,"26,1","24,3",61,51,56
2016-01-04,16:00,0,"26,6","25,2",60,52,56
2016-01-04,17:00,0,"26,9","24,2",64,52,63
2016-01-04,18:00,0,"25,4","24,2",68,60,65
2016-01-04,19:00,0,"24,7",24,68,63,67
2016-01-04,20:00,0,"24,3","21,7",78,66,77
2016-01-04,21:00,0,"21,8",21,80,77,79
2016-01-04,22:00,0,"21,1","20,6",79,77,79
2016-01-04,23:00,0,"20,6","20,4",80,77,77
2016-01-05,00:00,0,"20,7","20,4",78,74,74
2016-01-05,01:00,0,"20,6","20,2",77,74,77
2016-01-05,02:00,0,"20,4","20,2",78,74,74
2016-01-05,03:00,0,"20,2","19,4",78,74,77
2016-01-05,04:00,0,"19,5","19,1",79,77,78
2016-01-05,05:00,0,"19,3","19,2",79,77,77
2016-01-05,06:00,0,"19,3","19,2",78,77,78
2016-01-05,07:00,0,"19,2","18,6",81,78,78
2016-01-05,08:00,0,"19,1","18,7",80,78,80
2016-01-05,09:00,0,"18,8","18,4",81,79,80
2016-01-05,10:00,0,"19,9","18,6",81,76,76
2016-01-05,11:00,0,"21,5","19,9",77,69,70
2016-01-05,12:00,0,"22,9","21,5",70,62,63
2016-01-05,13:00,0,"24,9","22,8",64,55,55
2016-01-05,14:00,0,"27,1","24,5",58,47,49
2016-01-05,15:00,0,"27,1","25,2",59,46,49
2016-01-05,16:00,0,"28,2","25,8",61,44,47
2016-01-05,17:00,0,29,"26,9",51,40,42
2016-01-05,18:00,0,"29,9","27,9",47,34,35
2016-01-05,19:00,0,"30,5","28,6",47,33,45
2016-01-05,20:00,0,"28,7",27,55,46,55
2016-01-05,21:00,0,"27,1","24,8",64,55,64
2016-01-05,22:00,0,"24,7","22,6",75,64,75
2016-01-05,23:00,0,"22,6","21,1",81,75,81
2016-01-06,00:00,0,"21,2","20,3",82,81,82
2016-01-06,01:00,0,"20,3","19,7",84,80,80
2016-01-06,02:00,0,"19,7",19,83,80,83
2016-01-06,03:00,0,"18,9","17,9",90,83,90
2016-01-06,04:00,0,"18,5","17,9",90,89,89
2016-01-06,05:00,0,"18,7","18,3",89,87,88
2016-01-06,06:00,0,19,"17,3",90,81,90
2016-01-06,07:00,0,"17,4","16,9",93,90,93
2016-01-06,08:00,0,"16,9","16,5",94,93,94
2016-01-06,09:00,0,"17,5","16,7",94,94,94
2016-01-06,10:00,0,"20,4","17,5",94,79,79
2016-01-06,11:00,0,"22,4","20,3",79,71,71
2016-01-06,12:00,0,"24,8","22,4",71,62,63
2016-01-06,13:00,0,"26,6","24,3",64,52,53
2016-01-06,14:00,0,"28,8","26,1",56,47,50
2016-01-06,15:00,0,"29,6","27,1",56,43,50
2016-01-06,16:00,0,"30,6","27,9",53,38,41
2016-01-06,17:00,0,"30,4","28,1",52,38,48
2016-01-06,18:00,0,"31,3","28,1",49,34,36
2016-01-06,19:00,0,"31,3","27,6",59,34,59
2016-01-06,20:00,0,"28,5","26,3",64,57,64
2016-01-06,21:00,0,"26,7","25,2",69,63,69
2016-01-06,22:00,0,"25,2","23,6",74,69,73
2016-01-06,23:00,0,"23,7","22,5",77,72,76
2016-01-07,00:00,0,"22,5","21,3",82,76,82
2016-01-07,01:00,0,"21,3","20,6",85,82,85
2016-01-07,02:00,0,"20,6","19,9",89,85,89
2016-01-07,03:00,0,"19,9","19,5",91,89,91
2016-01-07,04:00,0,"19,5","19,2",93,91,93
2016-01-07,05:00,0,"19,2","18,7",93,93,93
2016-01-07,06:00,0,"19,6","18,8",94,84,90
2016-01-07,07:00,0,"19,1","18,4",93,90,93
2016-01-07,08:00,0,"18,7","17,9",94,92,94
2016-01-07,09:00,0,"18,1","17,7",94,94,94
2016-01-07,10:00,0,"20,2",18,94,87,87
2016-01-07,11:00,0,"23,2","20,2",87,64,65
2016-01-07,12:00,0,"26,1","23,2",66,56,58
2016-01-07,13:00,0,"28,2","25,8",59,44,44
2016-01-07,14:00,0,"30,2","27,9",48,39,43
2016-01-07,15:00,0,"31,1","28,4",49,36,46
2016-01-07,16:00,0,"32,2",28,49,35,35
2016-01-07,17:00,0,"32,9","30,6",43,33,35
2016-01-07,18:00,0,"32,9",30,46,32,41
2016-01-07,19:00,0,"32,2","28,7",49,34,42
2016-01-07,20:00,0,"31,9","29,1",47,34,43
2016-01-07,21:00,0,"29,5","26,4",62,43,62
2016-01-07,22:00,0,"26,4","24,3",70,62,70
2016-01-07,23:00,0,"24,3","23,1",73,70,73
2016-01-08,00:00,0,"23,5","22,9",75,73,74
2016-01-08,01:00,0,"23,2","22,6",74,66,71
2016-01-08,02:00,0,"22,7","21,3",81,71,81
2016-01-08,03:00,0,"21,3","20,7",84,81,84
2016-01-08,04:00,0,"20,9","20,5",84,82,83
2016-01-08,05:00,0,"20,9","20,5",83,82,82
2016-01-08,06:00,0,"20,8","20,6",83,82,83
2016-01-08,07:00,0,"20,9","20,3",84,82,84
2016-01-08,08:00,0,"20,4","20,2",86,84,85
2016-01-08,09:00,0,"20,5",20,87,85,85
2016-01-08,10:00,0,"22,3","20,5",85,79,80
2016-01-08,11:00,0,"26,2","22,2",80,56,58
2016-01-08,12:00,0,"28,5","26,2",58,47,49
2016-01-08,13:00,0,30,28,54,46,47
2016-01-08,14:00,0,31,"29,3",49,41,42
2016-01-08,15:00,0,"32,5","30,3",45,36,41
2016-01-08,16:00,0,"33,5","31,5",42,32,37
2016-01-08,17:00,0,"33,6","31,6",43,30,34
2016-01-08,18:00,0,"34,1","29,1",60,31,60
2016-01-08,19:00,0,"29,9","28,3",63,57,57
2016-01-08,20:00,0,"29,6","27,1",60,55,57
2016-01-08,21:00,0,"27,1","24,8",61,56,61
2016-01-08,22:00,0,"24,8","23,4",63,60,63
2016-01-08,23:00,0,"23,4","22,3",68,63,67
2016-01-09,00:00,0,"22,4","22,1",68,66,66
2016-01-09,01:00,0,"22,2","21,5",74,66,74
2016-01-09,02:00,5,"21,8","20,1",89,73,89
2016-01-09,03:00,"5,4","20,1","19,6",94,89,94
2016-01-09,04:00,"3,2",20,"19,7",95,94,95
2016-01-09,05:00,",6",20,"19,8",95,95,95
2016-01-09,06:00,",4","20,2","19,9",96,95,96
2016-01-09,07:00,",2","20,1","19,9",96,96,96
2016-01-09,08:00,",2","20,1","19,9",97,96,97
2016-01-09,09:00,0,"20,1","19,8",97,97,97
2016-01-09,10:00,0,"21,4",20,97,97,97
2016-01-09,11:00,0,"22,7","21,3",97,94,94
2016-01-09,12:00,0,"26,3","22,5",94,65,66
2016-01-09,13:00,0,"27,4","25,9",70,63,64
2016-01-09,14:00,0,"29,4","27,3",64,54,57
2016-01-09,15:00,0,"29,8","28,3",58,51,55
2016-01-09,16:00,0,"30,8",29,56,48,48
2016-01-09,17:00,0,"30,7","28,8",60,48,57
2016-01-09,18:00,"7,4","28,8","22,3",91,56,85
2016-01-09,19:00,"2,6","23,9","21,7",91,82,90
2016-01-09,20:00,"2,4","21,7","20,4",95,90,95
2016-01-09,21:00,"1,6",21,"20,4",95,95,95
2016-01-09,22:00,"1,2","21,6",21,96,95,96
2016-01-09,23:00,1,"21,9","21,5",96,96,96
2016-01-10,00:00,",6","21,6","21,4",96,96,96
2016-01-10,01:00,",8","21,6","21,4",96,95,95
2016-01-10,02:00,",6","21,7","21,5",95,95,95
2016-01-10,03:00,",6","21,7","21,5",95,94,94
2016-01-10,04:00,",6","21,8","20,5",95,94,95
2016-01-10,05:00,",8","20,8","20,4",95,95,95
2016-01-10,06:00,",6","20,8","20,6",95,95,95
2016-01-10,07:00,",8",21,"20,7",95,95,95
2016-01-10,08:00,",6","21,1","20,9",95,95,95
2016-01-10,09:00,",6","21,2","20,9",95,95,95
2016-01-10,10:00,",6","21,7","21,2",95,94,94
2016-01-10,11:00,",4","21,9","21,6",94,90,91
2016-01-10,12:00,",4","22,1","21,6",93,91,91
2016-01-10,13:00,",4","23,1","21,9",91,85,86
2016-01-10,14:00,",2",25,"23,1",87,74,75
2016-01-10,15:00,",2","26,3","24,1",78,66,71
2016-01-10,16:00,",2","26,8","24,9",74,60,61
2016-01-10,17:00,",2","27,4","26,5",61,54,58
2016-01-10,18:00,",2","27,1","24,1",75,57,75
2016-01-10,19:00,",2","24,9","24,1",77,72,77
2016-01-10,20:00,",2","24,1","23,1",88,77,88
2016-01-10,21:00,",2","23,3","22,9",90,88,90
2016-01-10,22:00,",2","23,2","22,9",90,89,90
2016-01-10,23:00,",2","23,1","22,8",91,90,91
