Data,Hora UTC,"PRECIPITA TOTAL, HORARIO (mm)",TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)"
2018-01-01,00:00,0,"21,3","20,7",85,82,83
2018-01-01,01:00,0,21,"20,7",85,82,85
2018-01-01,02:00,0,21,"20,8",86,84,84
2018-01-01,03:00,0,21,"20,8",86,84,86
2018-01-01,04:00,0,"20,9","20,7",87,85,87
2018-01-01,05:00,0,"20,7","20,4",89,87,88
2018-01-01,06:00,0,"20,5","20,3",89,87,87
2018-01-01,07:00,0,"20,4","20,1",90,87,90
2018-01-01,08:00,0,"20,2","20,1",90,88,88
2018-01-01,09:00,0,"20,3",20,89,87,87
2018-01-01,10:00,0,"21,1","20,3",87,83,83
2018-01-01,11:00,0,"21,9","21,1",84,79,81
2018-01-01,12:00,0,"22,5","21,6",82,78,80
2018-01-01,13:00,0,"22,7","21,9",83,77,78
2018-01-01,14:00,0,"23,7","22,7",78,74,74
2018-01-01,15:00,0,"24,1","23,4",74,71,73
2018-01-01,16:00,0,"25,9",24,74,63,64
2018-01-01,17:00,0,"26,2","25,1",70,61,63
2018-01-01,18:00,0,"27,3","25,5",67,58,62
2018-01-01,19:00,0,"28,1","26,3",64,54,56
2018-01-01,20:00,0,"28,5","27,7",60,54,58
2018-01-01,21:00,0,"28,3","26,4",64,57,63
2018-01-01,22:00,0,"26,4","24,5",73,63,71
2018-01-01,23:00,0,"24,6","23,7",76,71,76
2018-01-02,00:00,0,"23,8","21,2",80,76,78
2018-01-02,01:00,0,"21,2","20,8",80,75,75
2018-01-02,02:00,0,"21,2","20,7",83,75,83
2018-01-02,03:00,0,21,"20,3",87,82,87
2018-01-02,04:00,0,"20,7","20,2",88,86,88
2018-01-02,05:00,0,"20,9","20,4",89,88,88
2018-01-02,06:00,0,"21,2","20,7",88,85,87
2018-01-02,07:00,0,"21,1","20,7",88,86,86
2018-01-02,08:00,0,21,"20,4",88,86,88
2018-01-02,09:00,0,"20,9","20,3",89,84,84
2018-01-02,10:00,0,22,"20,8",84,80,80
2018-01-02,11:00,0,"22,9",22,80,76,76
2018-01-02,12:00,0,"23,3","22,7",77,71,74
2018-01-02,13:00,0,"23,4","22,5",75,72,72
2018-01-02,14:00,0,25,"23,4",72,64,64
2018-01-02,15:00,0,"25,5","24,3",69,62,69
2018-01-02,16:00,0,"26,4","24,3",75,64,67
2018-01-02,17:00,0,27,"25,1",72,61,61
2018-01-02,18:00,0,"27,3","24,9",76,61,68
2018-01-02,19:00,0,"27,1","25,7",73,63,65
2018-01-02,20:00,0,"27,3","25,8",71,63,70
2018-01-02,21:00,0,"25,9","24,8",74,70,74
2018-01-02,22:00,0,"24,8","23,5",78,74,77
2018-01-02,23:00,0,"23,6","22,9",80,76,79
2018-01-03,00:00,0,"22,9","21,8",80,77,77
2018-01-03,01:00,0,"21,9","21,7",79,76,79
2018-01-03,02:00,0,"21,7","21,4",84,79,84
2018-01-03,03:00,0,"21,4","21,2",85,83,84
2018-01-03,04:00,0,"21,5","21,2",85,83,83
2018-01-03,05:00,0,"21,6","21,4",84,82,82
2018-01-03,06:00,0,"21,5","21,4",83,82,83
2018-01-03,07:00,0,"21,5","21,3",84,83,84
2018-01-03,08:00,",2","21,4","20,8",89,83,89
2018-01-03,09:00,",2","20,9","20,7",90,89,90
2018-01-03,10:00,",4","20,8","20,6",91,89,89
2018-01-03,11:00,",2","20,9","20,6",89,88,88
2018-01-03,12:00,0,"21,4","20,9",89,84,85
2018-01-03,13:00,",2","22,1","20,8",88,84,87
2018-01-03,14:00,0,"22,9","21,6",88,81,81
2018-01-03,15:00,"1,2","23,8","22,2",90,77,83
2018-01-03,16:00,",2","24,4","23,1",86,75,86
2018-01-03,17:00,0,"25,5","23,7",86,67,67
2018-01-03,18:00,"10,6","25,5","21,6",92,65,92
2018-01-03,19:00,0,"23,5","22,1",92,82,83
2018-01-03,20:00,"5,2","23,7","21,5",91,80,91
2018-01-03,21:00,0,"21,7","21,1",91,88,89
2018-01-03,22:00,0,"21,3","20,5",89,88,89
2018-01-03,23:00,0,"20,5","19,9",90,89,89
2018-01-04,00:00,0,20,"19,4",90,89,89
2018-01-04,01:00,0,"19,4",19,90,88,90
2018-01-04,02:00,0,19,"18,6",90,88,89
2018-01-04,03:00,0,"18,7","18,4",90,89,89
2018-01-04,04:00,0,"18,4",18,89,88,89
2018-01-04,05:00,0,"18,2",18,91,89,91
2018-01-04,06:00,0,"18,3","17,9",91,90,90
2018-01-04,07:00,0,"17,9","17,4",90,89,90
2018-01-04,08:00,0,"17,5","17,3",90,90,90
2018-01-04,09:00,0,"17,3","16,8",91,90,91
2018-01-04,10:00,0,19,"16,9",92,87,87
2018-01-04,11:00,0,"21,3",19,87,61,64
2018-01-04,12:00,0,"23,5","21,3",64,41,43
2018-01-04,13:00,0,"24,8","23,5",44,32,32
2018-01-04,14:00,0,"26,2","24,8",34,30,32
2018-01-04,15:00,0,"27,4","26,1",33,29,29
2018-01-04,16:00,0,"28,1","27,1",32,25,28
2018-01-04,17:00,0,"28,5","27,9",36,25,33
2018-01-04,18:00,0,"28,4","27,1",44,33,43
2018-01-04,19:00,0,"27,6","26,5",48,41,46
2018-01-04,20:00,0,"26,7","25,3",53,46,52
2018-01-04,21:00,0,"25,3","23,6",62,52,61
2018-01-04,22:00,0,"23,6","21,6",70,61,70
2018-01-04,23:00,0,"21,6","20,5",75,70,75
2018-01-05,00:00,0,"20,5","19,6",79,75,78
2018-01-05,01:00,0,"19,6","18,8",84,78,84
