Data,"PRECIPITA TOTAL, HORARIO (mm)"
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,18.4
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.2
2018-01-07,10.2
2018-01-08,24.2
2018-01-09,3.0
2018-01-10,3.2
2018-01-11,0.2
2018-01-12,0.2
2018-01-13,2.4000000000000004
2018-01-14,10.2
2018-01-15,12.8
2018-01-16,0.0
2018-01-17,0.7999999999999999
2018-01-18,0.4
2018-01-19,1.0
2018-01-20,10.8
2018-01-21,1.4
2018-01-22,1.2000000000000002
2018-01-23,14.0
2018-01-24,13.2
2018-01-25,5.0
2018-01-26,0.6000000000000001
2018-01-27,0.4
2018-01-28,2.2
2018-01-29,2.2
2018-01-30,3.0
2018-01-31,29.400000000000002
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,0.2
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.2
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.2
2018-02-13,1.6
2018-02-14,5.0
2018-02-15,0.8
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.8
2018-02-19,0.0
2018-02-20,2.4
2018-02-21,4.2
2018-02-22,0.0
2018-02-23,2.8000000000000003
2018-02-24,4.0
2018-02-25,0.0
2018-02-26,7.2
2018-02-27,56.0
2018-02-28,3.6
2018-03-01,0.6000000000000001
2018-03-02,0.6000000000000001
2018-03-03,3.6
2018-03-04,5.2
2018-03-05,0.2
2018-03-06,0.4
2018-03-07,0.4
2018-03-08,1.8
2018-03-09,3.4000000000000004
2018-03-10,3.6
2018-03-11,3.4000000000000004
2018-03-12,4.0
2018-03-13,1.8
2018-03-14,5.800000000000001
2018-03-15,5.0
2018-03-16,7.4
2018-03-17,6.8
2018-03-18,0.0
2018-03-19,0.2
2018-03-20,1.0
2018-03-21,1.2000000000000002
2018-03-22,2.8000000000000003
2018-03-23,4.6000000000000005
2018-03-24,7.4
2018-03-25,4.0
2018-03-26,0.2
2018-03-27,0.2
2018-03-28,1.2000000000000002
2018-03-29,6.0
2018-03-30,10.6
2018-03-31,3.0
2018-04-01,1.6
2018-04-02,1.0
2018-04-03,1.8
2018-04-04,1.4000000000000001
2018-04-05,2.6
2018-04-06,2.2
2018-04-07,0.2
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,4.2
2018-04-16,1.6
2018-04-17,1.0
2018-04-18,1.4000000000000001
2018-04-19,4.0
2018-04-20,0.0
2018-04-21,0.2
2018-04-22,0.0
2018-04-23,0.2
2018-04-24,0.0
2018-04-25,0.2
2018-04-26,0.0
