Data,"PRECIPITA TOTAL, HORARIO (mm)"
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,0.2
2018-04-30,0.0
2018-05-01,0.2
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.2
2018-05-05,0.0
2018-05-06,0.2
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.2
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,0.0
2018-06-08,0.0
2018-06-09,0.0
2018-06-10,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,0.0
2018-06-16,0.0
2018-06-17,0.2
2018-06-18,0.0
2018-06-19,0.4
2018-06-20,0.2
2018-06-21,0.0
2018-06-22,0.0
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,0.0
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,0.0
2018-06-29,0.0
2018-06-30,0.0
2018-07-01,0.0
2018-07-02,0.0
2018-07-03,0.0
2018-07-04,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-07,0.0
2018-07-08,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-11,0.0
2018-07-12,0.0
2018-07-13,0.0
2018-07-14,0.0
2018-07-15,0.0
2018-07-16,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,0.0
2018-07-21,0.0
2018-07-22,0.0
2018-07-23,0.0
2018-07-24,0.0
2018-07-25,0.0
2018-07-26,0.0
2018-07-27,0.0
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,0.0
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-04,0.0
2018-08-05,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,0.0
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,0.0
2018-08-15,0.0
2018-08-16,0.0
2018-08-17,0.0
2018-08-18,0.0
2018-08-19,0.0
2018-08-20,0.0
2018-08-21,0.0
2018-08-22,0.0
2018-08-23,0.0
2018-08-24,0.0
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.0
2018-08-31,0.0
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,0.0
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,0.0
2018-09-07,0.0
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.0
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,0.0
2018-09-27,6.2
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,13.2
2018-10-01,13.6
2018-10-02,1.2
2018-10-03,3.6
2018-10-04,0.0
2018-10-05,0.0
2018-10-06,0.0
2018-10-07,0.4
2018-10-08,4.0
2018-10-09,14.6
2018-10-10,12.6
2018-10-11,1.4
2018-10-12,0.0
2018-10-13,4.0
2018-10-14,1.4
2018-10-15,14.199999999999998
2018-10-16,0.8
2018-10-17,1.2
2018-10-18,13.8
2018-10-19,9.0
2018-10-20,5.8
2018-10-21,0.0
2018-10-22,0.0
2018-10-23,0.0
2018-10-24,12.2
2018-10-25,8.8
2018-10-26,1.4
2018-10-27,15.2
2018-10-28,1.2000000000000002
2018-10-29,0.2
2018-10-30,0.0
2018-10-31,12.600000000000001
2018-11-01,0.0
2018-11-02,0.2
2018-11-03,1.6
2018-11-04,0.0
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,0.0
2018-11-08,3.0
2018-11-09,5.6
2018-11-10,0.8
2018-11-11,2.2
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,26.599999999999998
2018-11-16,0.0
2018-11-17,0.0
2018-11-18,2.4000000000000004
2018-11-19,41.6
2018-11-20,0.0
2018-11-21,0.0
2018-11-22,0.0
2018-11-23,2.0
2018-11-24,21.4
2018-11-25,12.200000000000001
2018-11-26,0.6
2018-11-27,0.0
2018-11-28,0.0
2018-11-29,0.8
2018-11-30,6.0
2018-12-01,83.80000000000001
2018-12-02,0.2
2018-12-03,0.6000000000000001
2018-12-04,0.0
2018-12-05,0.0
2018-12-06,0.0
2018-12-07,0.0
2018-12-08,0.4
2018-12-09,0.0
2018-12-10,0.0
2018-12-11,0.0
2018-12-12,0.0
2018-12-13,1.2
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,34.2
2018-12-17,0.2
2018-12-18,21.0
2018-12-19,18.4
2018-12-20,0.0
2018-12-21,0.2
2018-12-22,0.0
2018-12-23,16.4
2018-12-24,7.0
2018-12-25,0.2
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,6.6
2018-12-29,0.2
2018-12-30,0.0
2018-12-31,0.0
