Data,"PRECIPITA TOTAL, HORARIO (mm)"
2022-10-10,2.8
2022-10-11,0.0
2022-10-12,0.2
2022-10-13,0.2
2022-10-14,0.0
2022-10-15,0.6000000000000001
2022-10-16,0.0
2022-10-17,0.2
2022-10-18,3.4
2022-10-19,1.4
2022-10-20,0.0
2022-10-21,6.2
2022-10-22,0.8
2022-10-23,0.0
2022-10-24,0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,1.2
2022-10-29,1.0
2022-10-30,5.0
2022-10-31,39.8
2022-11-01,0.2
2022-11-02,3.4
2022-11-03,2.6
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,0.2
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,26.6
2022-11-12,2.6
2022-11-13,0.0
2022-11-14,8.2
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,5.8
2022-11-23,66.2
2022-11-24,5.0
2022-11-25,18.4
2022-11-26,0.0
2022-11-27,0.4
2022-11-28,9.6
2022-11-29,40.8
2022-11-30,1.4
2022-12-01,10.0
2022-12-02,0.0
2022-12-03,40.0
2022-12-04,15.6
2022-12-05,9.8
2022-12-06,13.2
2022-12-07,50.8
2022-12-08,0.0
2022-12-09,0.0
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,22.4
2022-12-13,23.0
2022-12-14,0.6
2022-12-15,0.0
2022-12-16,9.2
2022-12-17,0.0
2022-12-18,0.0
2022-12-19,2.4000000000000004
2022-12-20,4.0
2022-12-21,2.2
2022-12-22,0.6000000000000001
2022-12-23,0.0
2022-12-24,0.6000000000000001
2022-12-25,3.0
2022-12-26,3.6
2022-12-27,1.4
2022-12-28,26.2
2022-12-29,11.0
2022-12-30,4.2
2022-12-31,21.8
