Data,"PRECIPITA TOTAL, HORARIO (mm)"
2013-01-01,15.6
2013-01-02,1.4
2013-01-03,2.6
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,3.8
2013-01-07,0.0
2013-01-08,15.4
2013-01-09,12.4
2013-01-10,6.2
2013-01-11,0.2
2013-01-12,14.4
2013-01-13,23.2
2013-01-14,10.8
2013-01-15,13.8
2013-01-16,9.999999999999998
2013-01-17,0.4
2013-01-18,0.2
2013-01-19,38.0
2013-01-20,0.4
2013-01-21,0.8
2013-01-22,0.0
2013-01-23,16.0
2013-01-24,0.0
2013-01-25,2.0
2013-01-26,27.0
2013-01-27,0.0
2013-01-28,0.4
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.2
2013-02-01,72.8
2013-02-02,3.6
2013-02-03,0.4
2013-02-04,8.8
2013-02-05,0.0
2013-02-06,4.6000000000000005
2013-02-07,9.4
2013-02-08,4.2
2013-02-09,6.199999999999999
2013-02-10,2.0
2013-02-11,1.4
2013-02-12,0.8
2013-02-13,5.800000000000001
2013-02-14,76.0
2013-02-15,14.599999999999998
2013-02-16,7.4
2013-02-17,0.2
2013-02-18,61.2
2013-02-19,9.6
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,2.2
2013-02-24,0.0
2013-02-25,1.4
2013-02-26,24.2
2013-02-27,6.6
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.2
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.8
2013-03-07,11.4
2013-03-08,4.4
2013-03-09,15.0
2013-03-10,34.6
2013-03-11,14.6
2013-03-12,2.6
2013-03-13,6.0
2013-03-14,0.2
2013-03-15,0.0
2013-03-16,9.2
2013-03-17,10.8
2013-03-18,6.0
2013-03-19,0.2
2013-03-20,0.0
2013-03-21,23.6
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,3.8
2013-03-25,3.2
2013-03-26,10.4
2013-03-27,0.2
2013-03-28,0.0
2013-03-29,2.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.2
2013-04-02,1.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,19.0
2013-04-06,0.0
2013-04-07,3.8
2013-04-08,1.2
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-13,49.0
2013-04-14,0.6000000000000001
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.2
2013-04-18,0.2
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.2
2013-04-29,0.2
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,1.8
2013-05-07,0.2
2013-05-08,0.0
2013-05-09,0.2
2013-05-10,0.2
2013-05-11,0.0
2013-05-12,0.2
2013-05-13,0.2
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,13.599999999999998
2013-05-23,3.4
2013-05-24,0.2
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,2.2
2013-05-28,7.399999999999999
2013-05-29,0.8
2013-05-30,6.2
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,13.4
2013-06-03,0.2
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.2
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,0.2
2013-06-11,0.0
2013-06-12,3.0000000000000004
2013-06-13,0.0
2013-06-14,0.0
2013-06-15,0.0
2013-06-16,0.2
2013-06-17,14.0
2013-06-18,0.2
2013-06-19,0.0
2013-06-20,0.2
2013-06-21,0.2
2013-06-22,2.0
2013-06-23,0.0
2013-06-24,26.8
2013-06-25,17.6
2013-06-26,51.2
2013-06-27,1.2000000000000002
2013-06-28,0.0
2013-06-29,1.4
2013-06-30,25.6
2013-07-01,38.2
2013-07-02,0.8
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.2
2013-07-06,0.2
2013-07-07,0.0
2013-07-08,0.2
2013-07-09,0.2
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.2
2013-07-13,0.0
2013-07-14,0.2
2013-07-15,0.0
