Data,"PRECIPITA TOTAL, HORARIO (mm)"
2013-07-16,0.0
2013-07-17,0.2
2013-07-18,0.2
2013-07-19,2.0
2013-07-20,1.4
2013-07-21,9.8
2013-07-22,2.6
2013-07-23,9.4
2013-07-24,1.4
2013-07-25,15.4
2013-07-26,0.2
2013-07-27,0.2
2013-07-28,0.2
2013-07-29,0.2
2013-07-30,0.2
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,0.4
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,2.2
2013-08-15,0.2
2013-08-16,1.0
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.2
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,1.6
2013-08-28,0.0
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,0.2
2013-09-02,0.0
2013-09-03,2.6
2013-09-04,1.2000000000000002
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,6.4
2013-09-18,1.4
2013-09-19,19.2
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,1.4
2013-09-23,29.0
2013-09-24,15.6
2013-09-25,0.2
2013-09-26,1.8
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,5.4
2013-09-30,8.4
2013-10-01,1.2
2013-10-02,16.8
2013-10-03,11.0
2013-10-04,17.4
2013-10-05,0.2
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,0.2
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,10.0
2013-10-16,33.0
2013-10-17,4.199999999999999
2013-10-18,5.2
2013-10-19,7.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,6.0
2013-10-23,1.0
2013-10-24,0.0
2013-10-25,3.4000000000000004
2013-10-26,0.0
2013-10-27,0.2
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,1.6
2013-10-31,0.0
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,54.400000000000006
2013-11-05,1.8
2013-11-06,4.199999999999999
2013-11-07,4.6
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,12.6
2013-11-18,0.0
2013-11-19,8.0
2013-11-20,0.2
2013-11-21,0.6000000000000001
2013-11-22,5.6000000000000005
2013-11-23,20.4
2013-11-24,6.6
2013-11-25,16.400000000000002
2013-11-26,0.8
2013-11-27,1.0
2013-11-28,0.0
2013-11-29,0.8
2013-11-30,0.0
2013-12-01,0.6000000000000001
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,39.2
2013-12-06,0.0
2013-12-07,0.0
2013-12-08,0.0
2013-12-09,0.6
2013-12-10,24.0
2013-12-11,4.6000000000000005
2013-12-12,1.2
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,0.6
2013-12-24,0.4
2013-12-25,2.2
2013-12-26,0.2
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,8.4
2013-12-30,0.0
2013-12-31,0.0
